document_id,question,answer,difficulty
/pokemon_characters/magikarp_pokemon.txt,Who was saved by a Magikarp?,a Nurse Joy,M
/pokemon_characters/magikarp_pokemon.txt,What did a salesman attempt to sell to Team Rocket?,a Magikarp,M
/pokemon_characters/magikarp_pokemon.txt,Does Magikarp have yellow fins?,Yes,M
/pokemon_characters/magikarp_pokemon.txt,Is magikarp a blue fish?,No,M
/pokemon_characters/magikarp_pokemon.txt,Will an NPC sell the player a Magikarp in Pokémon Blue?,Yes,M
/pokemon_characters/magikarp_pokemon.txt,Does its notable characteristics include big tails?,No,M
/pokemon_characters/magikarp_pokemon.txt,How can you see a wild Gyarados in Pokémon Snap?,knock a Magikarp into a waterfall,M
/pokemon_characters/magikarp_pokemon.txt,"Do some Magikarp know moves other than Splash, Tackle, Flail, Hydro Pump and Bounce?",Yes,H
/pokemon_characters/magikarp_pokemon.txt,Can Magikarp learn the moves Splash and Tackle from generations 2 to 8?,Yes,H
/pokemon_characters/magikarp_pokemon.txt,Is it true that Magikarp can only learn three moves by leveling?,yes,M
/pokemon_characters/magikarp_pokemon.txt,"In the first generation of Pokemon games, could Magikarp learn 3 moves?",No.,M
/pokemon_characters/magikarp_pokemon.txt,Did Magikarp appear flopping around in a dried-up lake in more than one video game?,Yes,H
/pokemon_characters/magikarp_pokemon.txt,What are the only two moves Magikarp can learn by level in the first generation of Pokémon games?,Splash and Tackle,H
/pokemon_characters/magikarp_pokemon.txt,Is Magikarp a fish?,Yes,M
/pokemon_characters/magikarp_pokemon.txt,Who is the creator of Magikarp?,Ken Sugimori,M
/pokemon_characters/magikarp_pokemon.txt,In which level can Magikarp can learn Tackle move?,15,M
/pokemon_characters/magikarp_pokemon.txt,What types of fishing rods are best for finding Magikarps?,Old and Good Rods,M
/pokemon_characters/magikarp_pokemon.txt,"Is it common for Magikarp knowing moves other than Splash, Tackle, and Flail, to be awarded to players?",no,H
/pokemon_characters/magikarp_pokemon.txt,What moves can Magikarp learn by level in the first generation of games?,Splash and Tackle,M
/pokemon_characters/magikarp_pokemon.txt,Which Pokémon species is called Koikingu in Japan?,Magikarp,M
/pokemon_characters/magikarp_pokemon.txt,What has IGN criticized Magikarp for?,low statistics and inability to learn moves from Technical or Hidden Machines,M
/pokemon_characters/magikarp_pokemon.txt,Why is Magikarp called Koiking?,The shape of the dorsal fin resembles a crown,M
/pokemon_characters/magikarp_pokemon.txt,"In the anime, did Magikarp only appeared once?",No,M
/pokemon_characters/magikarp_pokemon.txt,What is the color of the long barbels on male Magikarp?,tan,M
/pokemon_characters/magikarp_pokemon.txt,On what video game console can you knock a Magikarp into a waterfall to see it evolve?,Nintendo 64,H
/pokemon_characters/magikarp_pokemon.txt,Who is the creator of Koiking?,Ken Sugimori,H
/pokemon_characters/magikarp_pokemon.txt,Is Magikarp able to beat Pikachu?,Yes,M
/pokemon_characters/magikarp_pokemon.txt,What are carps that leap over the Dragon Gate turned into?,dragons,M
/pokemon_characters/magikarp_pokemon.txt,Can Magikarp learn Tackle?,Yes,H
/pokemon_characters/magikarp_pokemon.txt,At what level can Magikarp learn the Tackle move?,15,M
/pokemon_characters/magikarp_pokemon.txt,Will an NPC sell the player a Magikarp in Pokémon Red and Blue?,Yes,M
/pokemon_characters/magikarp_pokemon.txt,What is the color of males' long barbels?,Tan,M
/pokemon_characters/magikarp_pokemon.txt,When was Pokémon: Magikarp Jump announced?,February 2017,M
/pokemon_characters/magikarp_pokemon.txt,Was an official music video of Magikarp made?,Yes,M
/pokemon_characters/magikarp_pokemon.txt,"Does Magikarp have any move other than Splash, Tackle, Flail, Pump, and Bounce?",Yes,H
/pokemon_characters/magikarp_pokemon.txt,What color are the barbels of female Magikarp?,white,M
/pokemon_characters/magikarp_pokemon.txt,What did The Escapist rank Magikarp on its list of favorite Pokemon?,61st,M
/pokemon_characters/magikarp_pokemon.txt,The concept of Magikarp evolving into Gyarados is based on the Chinese mythological tale in which carps leap over which waterfall?,Dragon Gate,M
/pokemon_characters/magikarp_pokemon.txt,Is Magikarp seen as useless?,Yes,H
/pokemon_characters/magikarp_pokemon.txt,Did PokéPark Wii: Pikachu's Adventure faithfully represent Magikarp's moves?,yes,M
/pokemon_characters/magikarp_pokemon.txt,What does the three-pointed fin on Magikarp back resemble?,A crown,H
/pokemon_characters/magikarp_pokemon.txt,What move is learned by Magikarp at level 15 in Generation 2?,Tackle,H
/pokemon_characters/magikarp_pokemon.txt,"In the Joy of Pokémon, who is a friend of Joy?",A giant Magikarp,M
/pokemon_characters/magikarp_pokemon.txt,Who befriends a giant Magikarp in The Joy of Pokemon?,a Nurse Joy,M
/pokemon_characters/magikarp_pokemon.txt,From what mythology does the way of evolving Magikarp into Gyrados in Pokémon Snap originate?,Chinese,H
/pokemon_characters/magikarp_pokemon.txt,What movie has Magikarp appeared in?,Detective Pikachu,H
/pokemon_characters/magikarp_pokemon.txt,At what level can Magikarp learn the Splash move?,1,M
/pokemon_characters/magikarp_pokemon.txt,What does the song that appears on Pokétoon Magikarp’s Journey feature?,How weak Magikarp is,H
/pokemon_characters/magikarp_pokemon.txt,Can Magikarp learn the move Flail from generation 1?,No,H
/pokemon_characters/magikarp_pokemon.txt,"IN Pokémon Red and Blue, is Magikarp seen commonly when fishing with an Old or Good Rod?",Yes,H
/pokemon_characters/magikarp_pokemon.txt,Is Magikarp found on land?,No,M
/pokemon_characters/magikarp_pokemon.txt,What fish is Magikarp based off of?,Carp,H
/pokemon_characters/magikarp_pokemon.txt,Can Magikarp learn the move Flail at level 25 in the first generation of Pokémon games?,No,H
/pokemon_characters/magikarp_pokemon.txt,What does Magikarp evolve into?,Gyarados,M
/pokemon_characters/magikarp_pokemon.txt,What Pokemon did Magikarp knock out in Ya See We Want an Evolution?,Pikachu,H
/pokemon_characters/magikarp_pokemon.txt,"In the Chinese mythological tale of the carps leaping over the Dragon Gate, what are the carps transformed into?",Dragons,M
/pokemon_characters/magikarp_pokemon.txt,Which moves can Magikarp learn by levelling up in the first generation of Pokemon games?,Splash and tackle,H
/pokemon_characters/magikarp_pokemon.txt,"In generation 2 to 8, at what level can Magikarp learn the Flail move?",25,M
/pokemon_characters/magikarp_pokemon.txt,"In what episode of the Pokémon anime was a Magikarp able to battle very well, even knocking out Pikachu? ",Ya See We Want an Evolution,H
/pokemon_characters/magikarp_pokemon.txt,What Pokemon does Magikarp fight in Detective Pikachu?,Charizard,M
/pokemon_characters/magikarp_pokemon.txt,Can Magikarp learn Hydropump and Bounce moves by simply leveling up?,No,M
/pokemon_characters/magikarp_pokemon.txt,What was a criticism of Magikarp?,being useless or pointless,M
/pokemon_characters/magikarp_pokemon.txt,Are Gyarados generally friendly Pokémon?,no,M
/pokemon_characters/magikarp_pokemon.txt,Can Magikarp learn the Flail move in generation 1?,No,H
/pokemon_characters/magikarp_pokemon.txt,What move does Magikarp learn at level 1?,Splash,M
/pokemon_characters/magikarp_pokemon.txt,Which song is about the weakness of Magikarp?,I Love Magikarp,M
/pokemon_characters/magikarp_pokemon.txt,Why have scientists researched Magikarp?,it is believed that the ancestors of Magikarp were actually much stronger than the Magikarp seen today,M
/pokemon_characters/magikarp_pokemon.txt,What Machines can Pokémon learn moves from?,Technical or Hidden,H
/pokemon_characters/magikarp_pokemon.txt,What makes Magikarp an E target to predators?,They are normally seen using Splash,M
/pokemon_characters/magikarp_pokemon.txt,"How do players acquire Magikarp that know more than Splash, Tackle, Flail, Hydro Pump, and Bounce?",awards,H
/pokemon_characters/magikarp_pokemon.txt,The shape of what feature of Magikarp inspired its Japanese name?,dorsal fin,H
/pokemon_characters/magikarp_pokemon.txt,Can magikarp learn 3 moves by level in the first generation of Pokémon games?,No,M
/pokemon_characters/magikarp_pokemon.txt,Can Magikarp learn Hydro Pump and Bounce in every generation?,No,M
/pokemon_characters/magikarp_pokemon.txt,Are all fins of Magikarp white?,No,M
/pokemon_characters/magikarp_pokemon.txt,Can the player see a wild Gyarados in Pokémon Snap?,Yes,M
/pokemon_characters/magikarp_pokemon.txt,"GamesRadar described what as ""the ultimate in terms of being the strongest Pokémon""?",Magikarp,M
/pokemon_characters/magikarp_pokemon.txt,Do male and female Magikarp have the same long barbels?,No,M
/pokemon_characters/magikarp_pokemon.txt,"Who called Magikarp a ""Water wussymon""?",IGN,M
/languages/Spanish_language.txt,Where did modern Spanish come from?,"neighboring Romance languages, Arabic, and Latin",H
/languages/Spanish_language.txt,Is Spanish the world's most spoken native language?,No,M
/languages/Spanish_language.txt,What is the origin of the Spanish language?,Vulgar latin,M
/languages/Spanish_language.txt,"The Association of Spanish Language Academies which was created in Mexico, comprises the academies of how many countries?",23,H
/languages/Spanish_language.txt,Is Spanish the only language spoken in Spain?,No,M
/languages/Spanish_language.txt,Is Spanish the most spoken native language?,No,M
/languages/Spanish_language.txt,"In Asia, what did setting up a free education system using Spanish do?","It increased the use of the language throughout the island, but only urban areas used it regularly",H
/languages/Spanish_language.txt,When was the Spanish colonization of the Philippines?,1565–1898,M
/languages/Spanish_language.txt,Which pronoun denotes intimacy?,Vos,H
/languages/Spanish_language.txt,Is Spanish used in administration in the state of New Mexico?,Yes,M
/languages/Spanish_language.txt,What does syllable0-timed languages mean? ,each syllable has approximately the same duration regardless of stress ,H
/languages/Spanish_language.txt,What is the most spoken variety of Spanish?,Mexican Spanish,M
/languages/Spanish_language.txt,Were the loanwords in Spanish were taken from more than one type of Latin?,yes,M
/languages/Spanish_language.txt,What year did the Phillippines gain independence?,1946,M
/languages/Spanish_language.txt,Which language is the most of modern Spanish vocabulary derived from?,Latin,M
/languages/Spanish_language.txt,Is Spanish the official language of Spain?,Yes,M
/languages/Spanish_language.txt,Is Spanish the most spoken language in the world?,No,M
/languages/Spanish_language.txt,Which is the world's most spoken language overall?,English,M
/languages/Spanish_language.txt,What percent of modern Spanish vocabulary is Latin?,75%,M
/languages/Spanish_language.txt,Do more people speak Spanish or Hindi?,Hindi,M
/languages/Spanish_language.txt,Where was the oldest Latin texts with traces of Spanish from?,mid-northern Iberia,M
/languages/Spanish_language.txt,Does the Organization of American States use Spanish as an official language?,yes,M
/languages/Spanish_language.txt,What nationality were Ilustrados?,Filipino,H
/languages/Spanish_language.txt,Was spanish an official language of Phillippines in 1600?,Yes,M
/languages/Spanish_language.txt,What was Belize formerly known as?,British Honduras,M
/languages/Spanish_language.txt,How many Spanish speakers live the United states?,50 million,M
/languages/Spanish_language.txt,Is Iberian related to the Latin language? ,No ,H
/languages/Spanish_language.txt,What country did Spanish originate from?,Spain,M
/languages/Spanish_language.txt,Is it true that most of the grammatical and typological features of Spanish are shared with the other Romance languages?,Yes,M
/languages/Spanish_language.txt,"How many pronouns meaning ""you"" does Spanish have?",Two,M
/languages/Spanish_language.txt,What cities were the written standard developed in?,Toledo and Madrid.,M
/languages/Spanish_language.txt,What Spanish dialect has the most speakers?,Mexican Spanish,M
/languages/Spanish_language.txt,What three languages are the most taught foreign languages throughout the world?,"Spanish, English, and French",M
/languages/Spanish_language.txt,Do students in Trinidad have to learn Spanish?,Yes,M
/languages/Spanish_language.txt,Is Spanish the official language of Spain and the official language of the European Union?,Yes,M
/languages/Spanish_language.txt,What is evidence that Madrid Spanish is the most influential?,It is used on radio and television in Spain,H
/languages/Spanish_language.txt,Is Spanish in the top three spoken languages by number of native speakers?,Yes,M
/languages/Spanish_language.txt,"In what period was Spanish called ""romanz castellano?""",Middle Ages,H
/languages/Spanish_language.txt,Is Spanish the third most spoken language in the world?,No,M
/languages/Spanish_language.txt,Is Spanish spoken in multiple geographical parts of Africa?,Yes,H
/languages/Spanish_language.txt,"What are the f-/h- doublets of the Spanish word for ""smith""?",Ferrero and herrero,H
/languages/Spanish_language.txt,Is Spanish the world's second most widely spoken Romance language?,No,M
/languages/Spanish_language.txt,During which period did Spanish colonialism spur on the introduction of the language to overseas locations?,the Early Modern Period,M
/languages/Spanish_language.txt,Is Spanish in general more common than Mandarin?,No,H
/languages/Spanish_language.txt,Is Spanish the most spoken language in the United States?,No,M
/languages/Spanish_language.txt,Is Portuguese one of the West Iberian Romance languages?,Yes,H
/languages/Spanish_language.txt,When did the Romans bring Vulgar Latin to the Iberian Peninsula?,210 BC,M
/languages/Spanish_language.txt,Where does most of Spanish's vocabulary come from?,Latin,M
/languages/Spanish_language.txt,What is the world's fourth-most spoken language?,Spanish,M
/languages/Spanish_language.txt,What country took over the Phillipines after the Spanish-American War?,America,H
/languages/Spanish_language.txt,Spanish is the most common second language in what country?,the United States,H
/languages/Spanish_language.txt,Is Equatorial Guinea the only Sub-Saharan Spanish-speaking country?,Yes,M
/languages/Spanish_language.txt,Is Spanish the second most used language on the internet?,No,M
/languages/Spanish_language.txt,Why can Spanish and Portuguese speakers communicate in written form?,"Because they are closely related, and most of its difficulties have to do with phonology",H
/languages/Spanish_language.txt,Who said that language is the instrument of empire?,Nebrija,M
/languages/Spanish_language.txt,What Spanish dialect has the most speakers?,Mexican Spanish,M
/languages/Spanish_language.txt,Who was the president of the Phillipines in 1973?,Ferdinand Marcos,M
/languages/Spanish_language.txt,Some dialecst of Spanish phonemic inventory consists 19 consonant phonemes. ,Yes,H
/languages/Spanish_language.txt,Which institute aims to advance the Spanish and Hispanic American cultures in non-Spanish-speaking countries?,Cervantes Institute,H
/languages/Spanish_language.txt,Why do so many people in the US speak Spanish?,Because of Spanish and Mexican administration over territories,H
/languages/Spanish_language.txt,Do more people speak Spanish than Hindi?,No,H
/languages/Spanish_language.txt,Is Spanish more similar to Portuguese or Italian?,Portuguese,H
/languages/Spanish_language.txt,When are the oldest written traces of Spanish from?,The 9th century,M
/languages/Spanish_language.txt,What sets Mexican Spanish apart?,the reduction of unstressed vowels,M
/languages/Spanish_language.txt,Why is Spanish called castellano?,Because it is the language from the kingdom of Castile,M
/languages/Spanish_language.txt,"Were Proto-Basque, Iberian, Lusitanian, Celtiberian and Gallaecian previously spoken in the Iberian Peninsula?",Yes,H
/languages/Spanish_language.txt,Is Spanish an official language on Easter Island?,Yes,M
/languages/Spanish_language.txt,Is Spanish spoken in some major American cities?,Yes,M
/languages/Spanish_language.txt,What is the world's first-most spoken native language?,Mandarin,H
/languages/Spanish_language.txt,How many native speakers does Spanish have?,500 million,M
/languages/Spanish_language.txt,What is the world's most spoken native language?,Mandarin,M
/languages/Spanish_language.txt,Is Spanish the most used language on internet websites?,No,M
/languages/Spanish_language.txt,Is Spanish currently an official language of the Phillippines?,No,M
/languages/Spanish_language.txt,Which Spanish-speaking country in Hispanophone America has the most residents?,Mexico,M
/languages/Spanish_language.txt,Is Spanish one of the six official languages of the United Nation?,Yes,M
/languages/Spanish_language.txt,What language is the most taught foreign language and the most used language on internet websites?,English,H
/languages/Spanish_language.txt,Where do the majority of the Spanish speakers live today?,Hispanic America,M
/languages/Spanish_language.txt,Is it true that Spanish has smaller degrees of difference from Latin than Sardinian and Italian?,No,H
/languages/Spanish_language.txt,Are there Spanish-speakers in Asia?,Yes,H
/languages/Spanish_language.txt,Did Northern dialects always view Southern dialects as equal?,No,M
/languages/Spanish_language.txt,What was the Spanish lexicon was most influenced by?,Neighboring romance languages,H
/languages/Spanish_language.txt,Which organization has branches in 45 countries and one of the goals is to promote education universally?,Cervantes Institute,H
/languages/Spanish_language.txt,Do different dialects of Spanish have different consonant phonemes?,Yes,H
/languages/Spanish_language.txt,What term for Spanish did the Royal Spanish Academy use in 1800?,Castellano,H
/languages/Spanish_language.txt,How many people live in the Canary Islands?,Over two million,M
/languages/Spanish_language.txt,What are the two registers used in Spanish?,formal and familiar,H
/languages/Spanish_language.txt,How many official languages does Puerto Rico have?,2,H
/languages/Spanish_language.txt,Is Spanish the least used language on internet websites?,No,M
/languages/Spanish_language.txt,"In spanish, the noun and adjuective systems exhibit three genders",No,M
/languages/Spanish_language.txt,"Which language is written in Latin script, whose diagraphs were formerly considered single letters?",Spanish Sahara,H
/languages/Spanish_language.txt,Is it true that more than 10% of people in Europe speak Spanish as their mother togue?,No,M
/languages/Spanish_language.txt,Is Spanish the official language of more than one international organization?,yes,M
/languages/Spanish_language.txt,Where do the majority of Spanish speakers live today?,Hispanic America,M
/languages/Spanish_language.txt,What language family is Spanish in?,the Indo-European language family,M
/languages/Spanish_language.txt,What states and territories in the United states were ruled by Spain?,"Louisiana, Florida, and Puerto Rico",H
/languages/Spanish_language.txt,When was the Association of Spanish Language Academies created?,1951,M
/languages/Spanish_language.txt,What type of Jewish are Ladino speakers?,Shepardi,M
/languages/Spanish_language.txt,How did English overtake Spanish in the Phillippines?,"The American government promoted English over Spanish, noting it as a negative influence of the past.",H
/languages/Spanish_language.txt,Where was the first systemic written use of Spanish?,Toledo,M
/languages/Spanish_language.txt,Is Spanish the most spoken native language?,no,M
/languages/Spanish_language.txt,What is another name of Spanish?,castellano,M
/languages/German_language.txt,Are there people that speak German in all the inhabited continents? ,Yes ,M
/languages/German_language.txt,"Is ""th"" a dental fricative? ",Yes ,M
/languages/German_language.txt,In which region have the traditional regional dialects been replaced by new vernaculars based on Standard High German?,Northern Germany,H
/languages/German_language.txt,What is the area in central Europe where the majority of the population speaks German as a first language and has German as a (co-)official language called?,"the ""German Sprachraum""",M
/languages/German_language.txt,Does German's consonant system have more consonants than other languages?,No,H
/languages/German_language.txt,What was the most important text for German language standardization?,Lutheran Bible,H
/languages/German_language.txt,In how many countries or provinces is German an official or co-official language in?,Eight,H
/languages/German_language.txt,Which branch of the Germanic languages is divided into a wide variety of dialects?,The West Germanic languages,M
/languages/German_language.txt,During which period were the Old High German dialects separated from Old Saxon? ,Migration Period,M
/languages/German_language.txt,Where is German the third most taught foreign language?,continental Europe,M
/languages/German_language.txt,Was Cameroon a colony of the German Empire in 1885?,Yes,M
/languages/German_language.txt,Is German the most widely spoken west germanic language?,No,M
/languages/German_language.txt,How many people speak German as a second language?,10-25 Million,M
/languages/German_language.txt,What is the Sachsenspiegel?,The first book of laws written in Middle Low German,M
/languages/German_language.txt,What is the most spoken language in the European Union?,German,H
/languages/German_language.txt,"How many countries are a part of the ""German Sprachraum""? ",7,H
/languages/German_language.txt,"What inflected, pluricentric language is the second most commonly used scientific language?",German,H
/languages/German_language.txt,Was German the language of commerce in the Habsburg Empire prior to the mid-nineteenth century?,Yes,H
/languages/German_language.txt,Does Afrikaans belong to the same language branch as Gothic?,No,H
/languages/German_language.txt,When was the end of the Old High German period?,1050,H
/languages/German_language.txt,When would one use a compund consisting of six words in German?,humorous contexts,H
/languages/German_language.txt,Were the Merseburg Charms originally written using a printing press?,No,H
/languages/German_language.txt,The Nibelungenlied is an important work from which period/epoch? ,Middle Ages,H
/languages/German_language.txt,What are German speakers called? ,Germanophones,M
/languages/German_language.txt,What language is the most widely spoken language in the European continent? ,Russian ,H
/languages/German_language.txt,What is German word order?,SOV,M
/languages/German_language.txt,Is German an official language in Luxembourg?,Yes,M
/languages/German_language.txt,Is Germany the most widely spoken language in Europe?,No,M
/languages/German_language.txt,Where did South African Nataler Duetsch speakers come from?,Wartburg,H
/languages/German_language.txt,Is the difference between Old High German and Old Saxon their respective vowel pronounciations?,No ,H
/languages/German_language.txt,Are there states in America where German is the most commonly spoken language at home after English?,Yes,M
/languages/German_language.txt,What event marks the beginning of the history of the German language?,the High German consonant shift,M
/languages/German_language.txt,What linguistic region was awarded the most Nobel Prizes in literature?,English ,H
/languages/German_language.txt,The basis of Standard High German developed with which book?,the Luther Bible,M
/languages/German_language.txt,Did English capitalize all nouns into the 1700s? ,Yes ,M
/languages/German_language.txt,Are Alemannic dialects spoken in Stuttgart?,Yes,H
/languages/German_language.txt,Is German the most scientifically used language? ,No,M
/languages/German_language.txt,"In Namibia, about how many people still speak German today?","30,000",M
/languages/German_language.txt,How many official languages at the federal level does Switzerland have? ,4,H
/languages/German_language.txt,What event marks the end of the Early New High German period?,the end of the Thirty Years' War,M
/languages/German_language.txt,What type of German words are perceived as more scholarly? ,loanwords from Latin and Latinized Greek ,M
/languages/German_language.txt,Where was Unserdeutch spoken?,German New Guinea,M
/languages/German_language.txt,"The Nibelungenlied, whose author remains unknown, can be traced back to which epoch?",the Middle Ages,H
/languages/German_language.txt,In which Central/Eastern European empire was German the language of commerce and government?,Habsburg,M
/languages/German_language.txt,Is German mainly spoken in West Europe?,No,M
/languages/German_language.txt,Does German rank first as a foreign language in the EU in terms of student numbers across all levels of education?  ,No,M
/languages/German_language.txt,What total proportion of books are published in German?,One tenth,M
/languages/German_language.txt,The Nibelungenlied was originally written in what German variation?,Middle High German,H
/languages/German_language.txt,"Is it true that Danish, Norwegian, and Swedish contain few similarities with German?",No,H
/languages/German_language.txt,How many Germanic languages are more widely spoken than German?,one,M
/languages/German_language.txt,Is German a national language in an African country?,Yes,M
/languages/German_language.txt,What is the most spoken language on the Europe continent?,Russian,H
/languages/German_language.txt,What poem contains a mixed use of Old Saxon and Old High German dialects?,the Hildebrandslied,M
/languages/German_language.txt,Does German use a significant amount of loanwords from Greek?,Yes,M
/languages/German_language.txt,What is the most spoken language in the European Union? ,German,H
/languages/German_language.txt,In what Italianian province is German the official language?,South Tyrol,M
/languages/German_language.txt,Does German have the highest number of consonants in comparsion with other languages?,No,M
/languages/German_language.txt,What can be an example of using German in official proceedings and literature?,The mittelhochdeutsche Dichtersprache.,H
/languages/German_language.txt,How many German speakers are there in Namibia?,"30,000",M
/languages/German_language.txt,What standard German-based pidgin language	 that is nearly extinct today	 evolved in Namibia? ,Namibian Black German,H
/languages/German_language.txt,For how many years was Namibia a colony of the German empire? ,35 years,M
/languages/German_language.txt,What US states is German most commonly spoken at home?,North and South Dakota,M
/languages/German_language.txt,Is German the most widely spoken Germanic Language?,No,M
/languages/German_language.txt,Which conference ended with a complete standardization of the Standard High German language in its written form?,the Second Orthographic Conference,M
/languages/German_language.txt,What was declared standard definition of German in 1901?,the Duden Handbook,M
/languages/German_language.txt,Is High German historically distinguished as Istvaeonic? ,No,H
/languages/German_language.txt,Is German the most spoken Germanic language?,No,M
/languages/German_language.txt,Where is Barossa German spoken?,"Adelaide, Australia",M
/languages/German_language.txt,What the High German varieties spoken by the Ashkenazi Jews?,Yiddish,M
/languages/German_language.txt,Is German the most widely spoken Germanic language?,No.,M
/languages/German_language.txt,In what year was the Duden Handbook declared as the standard definition of High German?,1901,M
/languages/German_language.txt,What tribes lived in the Ostsiedlung during the Old High German period?,Slavic,H
/languages/German_language.txt,Was was proposed to be called the High German?,Irminonic,M
/languages/German_language.txt,Which of the works written in Old High German in the ninth century is focused on by scholars?,The Hildebrandslied,H
/languages/German_language.txt,In what year was the Deutsche Bühnensprache established?,1898,H
/languages/German_language.txt,Does the German consonant system has much more number of consonants in comparison with other languages?,No,M
/languages/German_language.txt,"What prefix is contained in the German verb ""mitgehen""?",kommen,H
/languages/German_language.txt,Modern Danish is in what branch of Germanic languages?,North Germanic,H
/languages/German_language.txt,"What empire were Banat, Bukovina, and Transylvania provinces of? ",the Habsburg Empire,H
/languages/German_language.txt,Is German the most spoken language in terms of native and second language in the United States?,No,M
/languages/German_language.txt,Luther's translation of the Bible into High German took place during what period?,Early New High German,M
/languages/German_language.txt,Was Muspili written in Old Low German?,No,M
/languages/German_language.txt,Is it usual that many German dialects are considered to be separate languages?,No,H
/languages/German_language.txt,What are the cases for German adjectives?,"nominative,accusative,genitive,dative",H
/languages/German_language.txt,How many grammatical genders does German have?,three,M
/languages/German_language.txt,"What gender, other than male and female, does German use grammatically?",Neuter,M
/languages/German_language.txt,Where are Bavarian dialects of German most spoken?,"Austria, Bavaria",H
