Question,related_sentences
What was reintroduced in 186 BC by Grand Empress Dowager Lü Zhi? ,"In 144 BC Emperor Jing abolished private minting in favor of central-government and commandery-level minting; he also introduced a new coin. Wu introduced another in 120 BC, but a year later he abandoned the ban liangs entirely in favor of the wuzhu (五銖) coin, weighing 3.2 g (0.11 oz). The wuzhu became China's standard coin until the Tang dynasty (618–907 AD)."
"What is the Chinese translation of the title ""emperor""?","They defeated the Han in 200 BC and forced the Han to submit as a de facto inferior and vassal partner for several decades, while continuing their military raids on the dynasty's borders. This changed in 133 BC, during the reign of Emperor Wu, when Han forces began a series of intensive military campaigns and operations against the Xiongnu. After 92 AD, the palace eunuchs increasingly involved themselves in dynasty's court politics, engaging in violent power struggles between the various consort clans of the empresses and empresses dowager, causing the Han's ultimate downfall. Imperial authority was also seriously challenged by large Daoist religious societies which instigated the Yellow Turban Rebellion and the Five Pecks of Rice Rebellion."
Who appointed the victor of the Chu-Han Contention?,"Etymology According to the Records of the Grand Historian, after the collapse of the Qin dynasty the hegemon Xiang Yu appointed Liu Bang as prince of the small fief of Hanzhong, named after its location on the Han River (in modern southwest Shaanxi). Following Liu Bang's victory in the Chu–Han Contention, the resulting Han dynasty was named after the Hanzhong fief. History  Western Han China's first imperial dynasty was the Qin dynasty (221–207 BC)."
How much heavier is wuzhu compared to the coins that Emperor Wen allowed private minters to manufacture in 175 BC?,"This decision was reversed in 186 BC by his widow Grand Empress Dowager Lü Zhi (d. 180 BC), who abolished private minting. In 182 BC, Lü Zhi issued a bronze coin that was much lighter in weight than previous coins. This caused widespread inflation that was not reduced until 175 BC when Emperor Wen allowed private minters to manufacture coins that were precisely 2.6 g (0.09 oz) in weight. In 144 BC Emperor Jing abolished private minting in favor of central-government and commandery-level minting; he also introduced a new coin."
Are commanderies  larger than counties in the Han empire?,"Local government The Han empire, excluding kingdoms and marquessates, was divided, in descending order of size, into political units of provinces, commanderies, and counties. A county was divided into several districts (xiang 鄉), the latter composed of a group of hamlets (li 里), each containing about a hundred families."
Was the northern Korean Peninsula once part of the Han dynasty?,"Zhang encountered Dayuan (Fergana), Kangju (Sogdiana), and Daxia (Bactria, formerly the Greco-Bactrian Kingdom); he also gathered information on Shendu (Indus River valley of North India) and Anxi (the Parthian Empire). These connections marked the beginning of the Silk Road trade network that extended to the Roman Empire, bringing Han items like silk to Rome and Roman goods such as glasswares to China. Yunnan was brought into the Han realm with the conquest of the Dian Kingdom in 109 BC, followed by parts of the Korean Peninsula with the Han conquest of Gojoseon and colonial establishments of Xuantu Commandery and Lelang Commandery in 108 BC."
Was Han dynasty before the Three Kingdoms period?,"The Han dynasty (UK: , US: ; Chinese: 漢朝; pinyin: Hàncháo) was an imperial dynasty of China (202 BC – 9 AD, 25–220 AD), established by Liu Bang (Emperor Gao) and ruled by the House of Liu. The dynasty was preceded by the short-lived Qin dynasty (221–207 BC) and a warring interregnum known as the Chu–Han contention (206–202 BC), and it was succeeded by the Three Kingdoms period (220–280 AD). The dynasty was briefly interrupted by the Xin dynasty (9–23 AD) established by usurping regent Wang Mang, and is thus separated into two periods—the Western Han (202 BC – 9 AD) and the Eastern Han (25–220 AD)."
How long did Zhang Qian’s travels take? ,"Even before Han's expansion into Central Asia, diplomat Zhang Qian's travels from 139 to 125 BC had established Chinese contacts with many surrounding civilizations. Zhang encountered Dayuan (Fergana), Kangju (Sogdiana), and Daxia (Bactria, formerly the Greco-Bactrian Kingdom); he also gathered information on Shendu (Indus River valley of North India) and Anxi (the Parthian Empire)."
Was outlawing slavery an unsuccessful reform in Xin dynasty?,"The Han dynasty made adjustments to slavery in China and saw an increase in agricultural slaves. Artisans, technicians, tradespeople and craftsmen had a legal and socioeconomic status between that of owner-cultivator farmers and common merchants. State-registered merchants, who were forced by law to wear white-colored clothes and pay high commercial taxes, were considered by the gentry as social parasites with a contemptible status."
"Was Wang Mang the  first empress, then empress dowager, and finally grand empress dowager during the reigns of the Emperors Yuan?","Wang Mang's reign and civil war Wang Zhengjun (71 BC – 13 AD) was first empress, then empress dowager, and finally grand empress dowager during the reigns of the Emperors Yuan (r. 49–33 BC), Cheng (r. 33–7 BC), and Ai (r. 7–1 BC), respectively. During this time, a succession of her male relatives held the title of regent."
When did the Han court establish four new frontier commanderies to consolidate their control of the northwestern territory?,"They repelled a joint Xiongnu-Qiang invasion of this northwestern territory in 111 BC. In that same year, the Han court established four new frontier commanderies in this region to consolidate their control: Jiuquan, Zhangyi, Dunhuang, and Wuwei."
Who is Cao Pi?,"After Yuan died, Cao killed Yuan Shao's son Yuan Tan (173–205 AD), who had fought with his brothers over the family inheritance. His brothers Yuan Shang and Yuan Xi were killed in 207 AD by Gongsun Kang (d. 221 AD), who sent their heads to Cao Cao. After Cao's defeat at the naval Battle of Red Cliffs in 208 AD, China was divided into three spheres of influence, with Cao Cao dominating the north, Sun Quan (182–252 AD) dominating the south, and Liu Bei (161–223 AD) dominating the west. By December his son Cao Pi (187–226 AD) had Emperor Xian relinquish the throne to him and is known posthumously as Emperor Wen of Wei."
Which king did the Han court not replace by 196 BC?,"Liu Bang assumed the title ""emperor"" (huangdi) at the urging of his followers and is known posthumously as Emperor Gaozu (r. 202–195 BC). At the beginning of the Western Han (traditional Chinese: 西漢; simplified Chinese: 西汉; pinyin: Xīhàn), also known as the Former Han (traditional Chinese: 前漢; simplified Chinese: 前汉; pinyin: Qiánhàn) dynasty, thirteen centrally controlled commanderies—including the capital region—existed in the western third of the empire, while the eastern two-thirds were divided into ten semi-autonomous kingdoms. To placate his prominent commanders from the war with Chu, Emperor Gaozu enfeoffed some of them as kings. By 196 BC, the Han court had replaced all but one of these kings (the exception being in Changsha) with royal Liu family members, since the loyalty of non-relatives to the throne was questioned."
Did the Reformists in the Han dynasty promote an aggressive foreign policy?,"These connections marked the beginning of the Silk Road trade network that extended to the Roman Empire, bringing Han items like silk to Rome and Roman goods such as glasswares to China. From roughly 115 to 60 BC, Han forces fought the Xiongnu over control of the oasis city-states in the Tarim Basin. Yunnan was brought into the Han realm with the conquest of the Dian Kingdom in 109 BC, followed by parts of the Korean Peninsula with the Han conquest of Gojoseon and colonial establishments of Xuantu Commandery and Lelang Commandery in 108 BC. To pay for his military campaigns and colonial expansion, Emperor Wu nationalized several private industries."
Was Dong Zhongshu a Confucianism scholar?,"Unlike the original ideology espoused by Confucius, or Kongzi (551–479 BCE), Han Confucianism in Emperor Wu's reign was the creation of Dong Zhongshu (179–104 BCE). Dong was a scholar and minor official who aggregated the ethical Confucian ideas of ritual, filial piety, and harmonious relationships with five phases and yin-yang cosmologies."
What territories did Modu Chanyu control by the end of his reign?,"Kings became nominal heads of their fiefs and collected a portion of tax revenues as their personal incomes. The kingdoms were never entirely abolished and existed throughout the remainder of Western and Eastern Han. To the north of China proper, the nomadic Xiongnu chieftain Modu Chanyu (r. 209–174 BC) conquered various tribes inhabiting the eastern portion of the Eurasian Steppe. By the end of his reign, he controlled Manchuria, Mongolia, and the Tarim Basin, subjugating over twenty states east of Samarkand."
Why did China's first imperial dynasty collapse?,"When Cao Pi, king of Wei, usurped the throne from Emperor Xian, the Han dynasty ceased to exist. Etymology According to the Records of the Grand Historian, after the collapse of the Qin dynasty the hegemon Xiang Yu appointed Liu Bang as prince of the small fief of Hanzhong, named after its location on the Han River (in modern southwest Shaanxi). History  Western Han China's first imperial dynasty was the Qin dynasty (221–207 BC). The Qin united the Chinese Warring States by conquest, but their regime became unstable after the death of the first emperor Qin Shi Huang."
Did Emperor Wu influence the conflicts between the Han dynasty and Xiongnu?,"However, a court conference the following year convinced the majority that a limited engagement at Mayi involving the assassination of the Chanyu would throw the Xiongnu realm into chaos and benefit the Han. When this plot failed in 133 BC, Emperor Wu launched a series of massive military invasions into Xiongnu territory. Wu's reign, Han forces continued to fight the Xiongnu."
Were marriages highly ritualized amongst the wealthy in the Han era?,"Marriages were highly ritualized, particularly for the wealthy, and included many important steps. The giving of betrothal gifts, known as bridewealth and dowry, were especially important."
Did the types of clothing worn and the materials used during the Han period vary much?,"Clothing The types of clothing worn and the materials used during the Han period depended upon social class. Wealthy folk could afford silk robes, skirts, socks, and mittens, coats made of badger or fox fur, duck plumes, and slippers with inlaid leather, pearls, and silk lining."
Why did families throughout Han China made ritual sacrifices of animals and food to deities?,"Religion, cosmology, and metaphysics Families throughout Han China made ritual sacrifices of animals and food to deities, spirits, and ancestors at temples and shrines. They believed that these items could be utilized by those in the spiritual realm. It was thought that each person had a two-part soul: the spirit-soul (hun 魂) which journeyed to the afterlife paradise of immortals (xian), and the body-soul (po 魄) which remained in its grave or tomb on earth and was only reunited with the spirit-soul through a ritual ceremony. In addition to his many other roles, the emperor acted as the highest priest in the land who made sacrifices to Heaven, the main deities known as the Five Powers, and the spirits (shen 神) of mountains and rivers."
How did Han scholars such as Jia Yi potray the previous dynasty?,"There were dictionaries such as the Shuowen Jiezi by Xu Shen (c. 58 – c. 147 CE) and the Fangyan by Yang Xiong. Han dynasty poetry was dominated by the fu genre, which achieved its greatest prominence during the reign of Emperor Wu. Law and order Han scholars such as Jia Yi (201–169 BCE) portrayed the previous Qin dynasty as a brutal regime. However, archeological evidence from Zhangjiashan and Shuihudi reveal that many of the statutes in the Han law code compiled by Chancellor Xiao He (d. 193 BCE) were derived from Qin law."
Where was Huhanye Chanyu's rival claimant to the throne killed?,"The Xiongnu leader Huhanye Chanyu (r. 58–31 BC) finally submitted to the Han as a tributary vassal in 51 BC. Huhanye's rival claimant to the throne, Zhizhi Chanyu (r. 56–36 BC), was killed by Han forces under Chen Tang and Gan Yanshou (甘延壽) at the Battle of Zhizhi, in modern Taraz, Kazakhstan."
Was Han China’s first imperial dynasty?,"Following Liu Bang's victory in the Chu–Han Contention, the resulting Han dynasty was named after the Hanzhong fief. History  Western Han China's first imperial dynasty was the Qin dynasty (221–207 BC)."
Were the Han dynasty and the Xiongnu friendly?,"Like a king, the marquess collected a portion of the tax revenues in his fief as personal income. Up until the reign of Emperor Jing of Han, the Emperors of the Han had great difficulty bringing the vassal kings under control, as kings often switched their allegiance to the Xiongnu Chanyu whenever threatened by Imperial attempts to centralize power. The Han emperors moved to secure a treaty with the Chanyu to demarcate authority between them, recognizing each other as the ""two masters"" (兩主), the sole representatives of their respective peoples, cemented with a marriage alliance (heqin), before eliminating the rebellious vassal kings in 154 BC. This prompted some vassal kings of the Xiongnu to switch their allegiance to the Han emperor from 147 BC."
Is Qin Shi Huang  the second emperor of the Qin dynasty?,"Etymology According to the Records of the Grand Historian, after the collapse of the Qin dynasty the hegemon Xiang Yu appointed Liu Bang as prince of the small fief of Hanzhong, named after its location on the Han River (in modern southwest Shaanxi). Following Liu Bang's victory in the Chu–Han Contention, the resulting Han dynasty was named after the Hanzhong fief. History  Western Han China's first imperial dynasty was the Qin dynasty (221–207 BC). The Qin united the Chinese Warring States by conquest, but their regime became unstable after the death of the first emperor Qin Shi Huang."
Which emperor defeated the Xiongnu?,"However, a court conference the following year convinced the majority that a limited engagement at Mayi involving the assassination of the Chanyu would throw the Xiongnu realm into chaos and benefit the Han. When this plot failed in 133 BC, Emperor The assault culminated in 119 BC at the Battle of Mobei, when Han commanders Huo Qubing (d. 117 BC) and Wei Qing (d. 106 BC) forced the Xiongnu court to flee north of the Gobi Desert, and Han forces reached as far north as Lake Baikal. They repelled a joint Xiongnu-Qiang invasion of this northwestern territory in 111 BC."
Is it thought that Shennong Ben Cao Jing medical text was compiled by two people’s collaboration?,"When surgery was performed by the Chinese physician Hua Tuo (d. AD 208), he used anesthesia to numb his patients' pain and prescribed a rubbing ointment that allegedly sped the process of healing surgical wounds. Whereas the physician Zhang Zhongjing (c. AD 150 – c. 219) is known to have written the Shanghan lun (""Dissertation on Typhoid Fever""), it is thought that both he and Hua Tuo collaborated in compiling the Shennong Ben Cao Jing medical text."
In which Chinese Dynasty the three-legged iron seed drill was invented in?,"A significant product of these improved iron-smelting techniques was the manufacture of new agricultural tools. The three-legged iron seed drill, invented by the 2nd century BC, enabled farmers to carefully plant crops in rows instead of casting seeds out by hand."
Is the White Horse temple China's first known buddhist temple?,"Liu Ying (d. 71 CE), a half-brother to Emperor Ming of Han (r. 57–75 CE), was one of its earliest Chinese adherents, although Chinese Buddhism at this point was heavily associated with Huang-Lao Daoism. China's first known Buddhist temple, the White Horse Temple, was constructed outside the wall of the capital, Luoyang, during Emperor Ming's reign. Important Buddhist canons were translated into Chinese during the 2nd century CE, including the Sutra of Forty-two Chapters, Perfection of Wisdom, Shurangama Sutra, and Pratyutpanna Sutra."
Did the Spring and Autumn period span 241 years? ,"Astronomy Mathematics were essential in drafting the astronomical calendar, a lunisolar calendar that used the Sun and Moon as time-markers throughout the year. During the spring and autumn periods of the 5th century BC, the Chinese established the Sifen calendar (古四分历), which measured the tropical year at 365.25 days. This was replaced in 104 BC with the Taichu calendar (太初曆) that measured the tropical year at 365+385⁄1539 (~ 365.25016) days and the lunar month at 29+43⁄81 days."
"According to Confucian family norms, were family members treated equally?","According to Confucian family norms, various family members were treated with different levels of respect and intimacy. For example, there were different accepted time frames for mourning the death of a father versus a paternal uncle."
Who killed Huhanye's rival claimant to the throne?,"The Xiongnu leader Huhanye Chanyu (r. 58–31 BC) finally submitted to the Han as a tributary vassal in 51 BC. Huhanye's rival claimant to the throne, Zhizhi Chanyu (r. 56–36 BC), was killed by Han forces under Chen Tang and Gan Yanshou (甘延壽) at the Battle of Zhizhi, in modern Taraz, Kazakhstan."
When did Qing Dynasty fall?,This policy endured until the fall of the Qing dynasty in 1912 AD. The Han dynasty saw an age of economic prosperity and witnessed a significant growth of the money economy first established during the Zhou dynasty (c. 1050–256 BC).
Were Buddhist monks included with the foreign travelers to Eastern-Han China?,"Foreign travelers to Eastern-Han China include Buddhist monks who translated works into Chinese, such as An Shigao from Parthia, and Lokaksema from Kushan-era Gandhara, India. In addition to tributary relations with the Kushans, the Han Empire received gifts from the Parthian Empire, from a king in modern Burma, from a ruler in Japan, and initiated an unsuccessful mission to Daqin (Rome) in AD 97 with Gan Ying as emissary. A Roman embassy of Emperor Marcus Aurelius (r. 161–180 AD) is recorded in the Weilüe and Hou Hanshu to have reached the court of Emperor Huan of Han (r. 146–168 AD) in AD 166, yet Rafe de Crespigny asserts that this was most likely a group of Roman merchants."
Which Emperor of the Han dynasty encouraged nominees for office to receive education at the Imperial University in 136 BCE?,"The Han dynasty (UK: , US: ; Chinese: 漢朝; pinyin: Hàncháo) was an imperial dynasty of China (202 BC – 9 AD, 25–220 AD), established by Liu Bang (Emperor Gao) and ruled by the House of Liu. The dynasty was preceded by the short-lived Qin dynasty (221–207 BC) and a warring interregnum known as the Chu–Han contention (206–202 BC), and it was succeeded by the Three Kingdoms period (220–280 AD). The emperor was at the pinnacle of Han society. He presided over the Han government but shared power with both the nobility and appointed ministers who came largely from the scholarly gentry class."
Was Han dynasty after Qin dynasty?,"The Han dynasty (UK: , US: ; Chinese: 漢朝; pinyin: Hàncháo) was an imperial dynasty of China (202 BC – 9 AD, 25–220 AD), established by Liu Bang (Emperor Gao) and ruled by the House of Liu. The dynasty was preceded by the short-lived Qin dynasty (221–207 BC) and a warring interregnum known as the Chu–Han contention (206–202 BC), and it was succeeded by the Three Kingdoms period (220–280 AD). The dynasty was briefly interrupted by the Xin dynasty (9–23 AD) established by usurping regent Wang Mang, and is thus separated into two periods—the Western Han (202 BC – 9 AD) and the Eastern Han (25–220 AD)."
Which Emperor of the Han dynasty established the Imperial University in 124 BCE?,"To eliminate the influence of such private entrepreneurs, Emperor Wu nationalized the salt and iron industries in 117 BC and allowed many of the former industrialists to become officials administering the state monopolies. By Eastern Han times, the central government monopolies were repealed in favor of production by commandery and county administrations, as well as private businessmen. Apart from Emperor Ming's creation of a short-lived Office for Price Adjustment and Stabilization, which was abolished in 68 AD, central-government price control regulations were largely absent during the Eastern Han. Science and technology The Han dynasty was a unique period in the development of premodern Chinese science and technology, comparable to the level of scientific and technological growth during the Song dynasty (960–1279)."
The Han dynasty was succeeded by what?,"Gengshi's distant cousin Liu Xiu, known posthumously as Emperor Guangwu (r. 25–57 AD), after distinguishing himself at the Battle of Kunyang in 23 AD, was urged to succeed Gengshi as emperor. Guangwu made Luoyang his capital in 25 AD, and by 27 AD his officers Deng Yu and Feng Yi had forced the Red Eyebrows to surrender and executed their leaders for treason. From 26 until 36 AD, Emperor Guangwu had to wage war against other regional warlords who claimed the title of emperor; when these warlords were defeated, China reunified under the Han. The period between the foundation of the Han dynasty and Wang Mang's reign is known as the Western Han (traditional Chinese: 西漢; simplified Chinese: 西汉; pinyin: Xīhàn) or Former Han (traditional Chinese: 前漢; simplified Chinese: 前汉; pinyin: Qiánhàn) (206 BC – 9 AD)."
Did science see a huge step back during the Han dynasty?,"Science and technology The Han dynasty was a unique period in the development of premodern Chinese science and technology, comparable to the level of scientific and technological growth during the Song dynasty (960–1279)."
Which dynasty the Xin dynasty interrupted in 9 AD?,"The Han dynasty (UK: , US: ; Chinese: 漢朝; pinyin: Hàncháo) was an imperial dynasty of China (202 BC – 9 AD, 25–220 AD), established by Liu Bang (Emperor Gao) and ruled by the House of Liu. The dynasty was preceded by the short-lived Qin dynasty (221–207 BC) and a warring interregnum known as the Chu–Han contention (206–202 BC), and it was succeeded by the Three Kingdoms period (220–280 AD). The dynasty was briefly interrupted by the Xin dynasty (9–23 AD) established by usurping regent Wang Mang, and is thus separated into two periods—the Western Han (202 BC – 9 AD) and the Eastern Han (25–220 AD)."
Who was initially winning in the conflict betweeo Xiongnu and the Hans dynasty?,"The Han dynasty is known for the many conflicts it had with the Xiongnu, a nomadic steppe confederation to the dynasty's north. The Xiongnu initially had the upper hand in these conflicts. They defeated the Han in 200 BC and forced the Han to submit as a de facto inferior and vassal partner for several decades, while continuing their military raids on the dynasty's borders. The Han ultimately defeated the Xiongnu in these campaigns, and the Xiongnu were forced to accept vassal status as Han tributaries."
Who was preceded by the Qin dynasty?,"The Han dynasty (UK: , US: ; Chinese: 漢朝; pinyin: Hàncháo) was an imperial dynasty of China (202 BC – 9 AD, 25–220 AD), established by Liu Bang (Emperor Gao) and ruled by the House of Liu. The dynasty was preceded by the short-lived Qin dynasty (221–207 BC) and a warring interregnum known as the Chu–Han contention (206–202 BC), and it was succeeded by the Three Kingdoms period (220–280 AD)."
Was Wang Mang successful in outlawing slavery?,"Wang Mang initiated a series of major reforms that were ultimately unsuccessful. These reforms included outlawing slavery, nationalizing land to equally distribute between households, and introducing new currencies, a change which debased the value of coinage."
Is the White Horse Temple China’s second known Buddhist temple?,"Liu Ying (d. 71 CE), a half-brother to Emperor Ming of Han (r. 57–75 CE), was one of its earliest Chinese adherents, although Chinese Buddhism at this point was heavily associated with Huang-Lao Daoism. China's first known Buddhist temple, the White Horse Temple, was constructed outside the wall of the capital, Luoyang, during Emperor Ming's reign. Important Buddhist canons were translated into Chinese during the 2nd century CE, including the Sutra of Forty-two Chapters, Perfection of Wisdom, Shurangama Sutra, and Pratyutpanna Sutra."
What is the modern name for the city of Chang'an?,"Liu Bang assumed the title ""emperor"" (huangdi) at the urging of his followers and is known posthumously as Emperor Gaozu (r. 202–195 BC). Chang'an (known today as Xi'an) was chosen as the new capital of the reunified empire under Han. At the beginning of the Western Han (traditional Chinese: 西漢; simplified Chinese: 西汉; pinyin: Xīhàn), also known as the Former Han (traditional Chinese: 前漢; simplified Chinese: 前汉; pinyin: Qiánhàn) dynasty, thirteen centrally controlled commanderies—including the capital region—existed in the western third of the empire, while the eastern two-thirds were divided into ten semi-autonomous kingdoms."
Was Xin dynasty after Chu-Han contention?,"However, a court conference the following year convinced the majority that a limited engagement at Mayi involving the assassination of the Chanyu would throw the Xiongnu realm into chaos and benefit the Han. After Wu's reign, Han forces continued to fight the Xiongnu."
Which system switched the positions of furrows and ridges between growing seasons?,"This system switched the positions of furrows and ridges between growing seasons. Once experiments with this system yielded successful results, the government officially sponsored it and encouraged peasants to use it."
"After the imperial court enacted a series of reforms beginning in 145 BC, who was responsible for appointing the Kings’ staff?","By 196 BC, the Han court had replaced all but one of these kings (the exception being in Changsha) with royal Liu family members, since the loyalty of non-relatives to the throne was questioned. After several insurrections by Han kings—the largest being the Rebellion of the Seven States in 154 BC—the imperial court enacted a series of reforms beginning in 145 BC limiting the size and power of these kingdoms and dividing their former territories into new centrally controlled commanderies. Kings were no longer able to appoint their own staff; this duty was assumed by the imperial court."
For how long was Han a de facto inferior and vassal partner of Xiongnu? ,"Like a king, the marquess collected a portion of the tax revenues in his fief as personal income. Up until the reign of Emperor Jing of Han, the Emperors of the Han had great difficulty bringing the vassal kings under control, as kings often switched their allegiance to the Xiongnu Chanyu whenever threatened by Imperial attempts to centralize power. The Han emperors moved to secure a treaty with the Chanyu to demarcate authority between them, recognizing each other as the ""two masters"" (兩主), the sole representatives of their respective peoples, cemented with a marriage alliance (heqin), before eliminating the rebellious vassal kings in 154 BC. This prompted some vassal kings of the Xiongnu to switch their allegiance to the Han emperor from 147 BC."
"Who was ranked higher in the social hierarchy, farmers, or tenants?","When the government became noticeably corrupt in mid-to-late Eastern Han, many gentrymen even considered the cultivation of morally grounded personal relationships more important than serving in public office. The farmer, or specifically the small landowner-cultivator, was ranked just below scholars and officials in the social hierarchy. Other agricultural cultivators were of a lower status, such as tenants, wage laborers, and slaves."
What was considered dishonorable during marriages in the Han era?,"Marriages were highly ritualized, particularly for the wealthy, and included many important steps. The giving of betrothal gifts, known as bridewealth and dowry, were especially important. A lack of either was considered dishonorable and the woman would have been seen not as a wife, but as a concubine."
Did multiple generations of extended family members did not occupy the same house in the Han era?,"The Han-era family was patrilineal and typically had four to five nuclear family members living in one household. Multiple generations of extended family members did not occupy the same house, unlike families of later dynasties. According to Confucian family norms, various family members were treated with different levels of respect and intimacy."
